,CEONames
0,Industrial Renaissance 
1,Anand Nallathambi 
2,Torino Capital 
3,Jeffrey Gundlach 
4,Carly Fiorina 
5,Tony Posawatz 
6,Glenn Murphy 
7,Sokol Berkshire 
8,Berkshire Hathaway 
9,Bloomberg Television 
10,Dreamworks Animation 
11,Mike Lynch 
12,Eddie Lampert 
13,Sears Holdings 
14,Why Everyone 
15,Wet Seal 
16,Spencer Ante 
17,Bill Ackman 
18,We Have 
19,Bloomberg Bloomberg 
20,Jim Cowles 
21,Bill Mills 
22,Francisco Aristeguieta 
23,Hank Greenberg 
24,Ron Johnson 
25,Maurice Greenberg 
26,Dennis Crowley 
27,James Gorman 
28,Matt Rose 
29,Business Insider 
30,Jamie Dimon 
31,Bob Benmosche 
32,Morgan Stanley 
33,Robert Benmosche 
34,Joe Ratterman 
35,Kirk Sorensen 
36,Pershing Square 
37,Herbalife Analyst 
38,On January 
39,Third Point 
40,Former Citigroup 
41,Bank America 
42,Additional Sources 
43,Even David 
44,The Minerva 
45,Ben Nelson 
46,Kaz Hirai 
47,Tim Armstrong 
48,London Whale 
49,Back October 
50,The Hindu 
51,At Brookings 
52,While Lewis 
53,Michael Dell 
54,Asia Pacific 
55,Eric Hunsader 
56,Disappointed And 
57,Tube Most 
58,Steve Ballmer 
59,Morgan Chase 
60,Bruce Marks 
61,Paul Otellini 
62,Goldman Sachs 
63,Philippe Chevalier 
64,New York 
65,After Morgan 
66,Steve Schwarzman 
67,Pete Flint 
68,Euro Pacific 
69,Steve Cohen 
70,Worldwide Code 
71,Tim Leuliette 
72,Intermodal Dedicated 
73,But Goldman 
74,Press Release 
75,Piper Jaffray 
76,Crazy Chinese 
77,Rio Tinto 
78,Bill Gross 
79,As Bloomberg 
80,Mark Benioff 
81,Neal Black 
82,Harvard Steve 
83,Howard Schultz 
84,Dynasties Of 
85,The Real 
86,Pamela Flaherty 
87,Even Goldman 
88,Getty Images 
89,Lisa Du 
90,Robert Johnson 
91,The Ford 
92,Richard Handler 
93,Capital Partners 
94,Greg Smith 
95,Watch Below 
96,Images On 
97,Congressman David 
98,Mike Jeffries 
99,On February 
100,Andrew Feldstein 
101,Deutsche Bank 
102,Scott Davis 
103,Os Juergen 
104,And Facebook 
105,Jeff Bezos 
106,Larry Fink 
107,November December 
108,David Tepper 
109,Steve Ells 
110,Monty Moran 
111,As Deutsche 
112,Chief Henry 
113,According Nanex 
114,Grow Driver 
115,Carol Evans 
116,Lehman Brothers 
117,Vikram Pandit 
118,Corporate Insiders 
119,But Richard 
120,The Commodities 
121,In December 
122,Ben Verwaayen 
123,The New 
124,The Post 
125,Don Thompson 
126,Great Recession 
127,On Republican 
128,John Ulzheimer 
129,As Skullcandy 
130,Siemens America 
131,Eric Schmidt 
132,Tim Cook 
133,Ginni Rometty 
134,American Airlines 
135,Tom Horton 
136,Larry Ellison 
137,Lanai Resorts 
138,Yves Roussel 
139,Howard Hughes 
140,Gerald Storch 
141,Rowe Price 
142,Phil Denton 
143,David Einhorn 
144,Os Fed 
145,Elon Musk 
146,The Heinz 
147,Warren Buffett 
148,The Reporting 
149,John Chambers 
150,Hilary Sargent 
151,Antony Jenkins 
152,Public Editor 
153,Steven Dean 
154,Thomas Kingston 
155,Office Depot 
156,Alfa Romeo 
157,Maurice Taylor 
158,Ravi Saligram 
159,Neil Austrian 
160,Titan International 
161,National Futures 
162,Michael Corbat 
163,Patti Hart 
164,Eric Jackson 
165,Chuck Mathewson 
166,Rosalind Brewer 
167,Andrei Kostin 
168,Willis Group 
169,Clayton Woitas 
170,According Bloomberg 
171,Terry Lundgren 
172,Mickey Drexler 
173,Russ Girling 
174,Teamwork Online 
175,Damon Hininger 
176,Hubert Joly 
177,Tom Keene 
178,Vanity Fair 
179,After Ackman 
180,Outside Yahoo 
181,Marissa Mayer 
182,Stephen Hester 
183,Peter Peterson 
184,Harbor Investment 
185,Photo Kevork 
186,David Longmuir 
187,Managing Director 
188,Carlos Ghosn 
189,Michael Seto 
190,Screenshot Via 
191,Citi Quintanilla 
192,Kingston Financial 
193,Fortune Live 
194,William Ackman 
195,Gerald Turner 
196,Ellen Siminoff 
197,Like Yahoo 
198,Wall Street 
199,Laura Lang 
200,Allen Questrom 
201,Warren Buffet 
202,Edward Breen 
203,Burger King 
204,William Cohan 
205,According Australian 
206,Vaishali Rastogi 
207,Steve Brazier 
208,Sky News 
209,Mark Cohen 
210,John Carter 
211,Chuck Prince 
212,Charlie Rose 
213,With Canadian 
214,Jay Feuerstein 
215,The Business 
216,Chairman Business 
217,Limin Li 
218,Meanwhile Fisker 
219,Former Chrysler 
220,Sandy Weill 
221,Steve Jobs 
222,When Sassa 
223,Sergio Ermotti 
224,Joe Mimran 
225,Ina Drew 
226,Robert Reynolds 
227,California Public 
228,Calculated Risk 
229,Lion Air 
230,Albert Lam 
231,Don Graunstadt 
232,Some Lululemon 
233,Christine Day 
234,Take Goldman 
235,Thomas Meyer 
236,Should Chairman 
237,Evening Standard 
238,According Wall 
239,Edward Barbini 
240,Merrill Lynch 
241,He Heinz 
242,Ray Irani 
243,Packard Pepsi 
244,Mark Parker 
245,Charges Wall 
246,Salvatore Iannuzzi 
247,Leo Apotheker 
248,Meg Whitman 
249,Under Silver 
250,Best Buy 
251,Brian Dunn 
252,Tom Joyce 
253,Yesterday Ford 
254,European Union 
255,Joseph Jimenez 
256,The Wall 
257,Daniel Goodman 
258,Lloyd Blankfein 
259,Former Citi 
260,In March 
261,That Timothy 
262,Former Sands 
263,Reed Hasting 
264,Cathy Baron 
