,Percentage
0,2 %
1,47 %
2,6 %
3,47 %
4,47 %
5,2 %
6,2 %
7,47 %
8,35 %
9,6 %
10,2 %
11,2 %
12,15 %
13,8 %
14,8 %
15,6 %
16,15 %
17,8 %
18,90 %
19,40 %
20,10 %
21,3 %
22,3 %
23,2 %
24,7 %
25,2 %
26,5 %
27,4 %
28,9 %
29,1 %
30,1 %
31,3 %
32,2 %
33,3 %
34,3 %
35,3 %
36,3 %
37,3 %
38,2 %
39,3 %
40,9 %
41,1 %
42,1 %
43,26 %
44,3 %
45,1 %
46,5 %
47,4 %
48,3 %
49,8 %
50,8 %
51,1 %
52,1 %
53,50 %
54,2 %
55,0 %
56,8 %
57,1 %
58,9 %
59,6 %
60,good percent
61,2 %
62,35 %
63,6 %
64,15 %
65,40 %
66,15 %
67,5 %
68,15 %
69,15 %
70,10 %
71,interest percent
72,five percent
73,3 %
74,5 %
75,1 %
76,8 %
77,larger percent
78,one percent
79,1 %
80,4 %
81,20 %
82,6 %
83,15 %
84,s percent
85,5 %
86,6 %
87,40 %
88,40 %
89,26 %
90,8 %
91,25 %
92,70 %
93,shrunk percent
94,10 %
95,90 %
96,6 %
97,0 %
98,3 %
99,3 %
100,3 %
101,3 %
102,3 %
103,5 %
104,3 %
105,2 %
106,bigger percent
107,lower percent
108,17 %
109,level percent
110,nine percent
111,three percent
112,5 %
113,96 %
114,5 %
115,1 %
116,4 %
117,40 %
118,07 %
119,67 %
120,73 %
121,88 %
122,40 %
123,69 %
124,73 %
125,07 %
126,48 %
127,60 %
128,24 %
129,84 %
130,five percent
131,three-to-four percent
132,three percent
133,five percent
134,8178 %
135,large percent
136,49 %
137,32 %
138,24 %
139,348 %
140,701 %
141,100 %
142,2 %
143,3 %
144,1 %
145,24 %
146,2 %
147,3 %
148,2 %
149,1 %
150,4 %
151,210 %
152,19 %
153,40 %
154,5 %
155,5 %
156,half percent
157,half percent
158,40 %
159,80 %
160,6 %
161,8 %
162,8 %
163,2 %
164,100 %
165,8 %
166,50 %
167,69 %
168,50 %
169,3 %
170,8 %
171,9 %
172,83 %
173,1 %
174,9 %
175,7 %
176,0 %
177,5 %
178,0 %
179,5 %
180,9 %
181,3 %
182,18 %
183,5 %
184,5 %
185,11 %
186,5 %
187,11 %
188,20 %
189,30 %
190,1 %
191,8 %
192,7 %
193,3 %
194,1 %
195,6 %
196,4 %
197,4 %
198,19 %
199,13 %
200,8 %
201,1 %
202,1 %
203,3 %
204,20 %
205,10 %
206,3 %
207,3 %
208,500 %
209,53 %
210,0 %
211,21 %
212,16 %
213,32 %
214,22 %
215,8 %
216,50 %
217,8 %
218,8 %
219,825 %
220,2 %
221,5 %
222,5 %
223,high percent
224,96 %
225,7 %
226,8 %
227,5 %
228,91 %
229,10 %
230,2 %
231,6 %
232,10 %
233,5 %
234,14 %
235,40 %
236,5 %
237,5 %
238,1 %
239,95 %
240,50 %
241,20 %
242,4 %
243,25 %
244,20 %
245,82 %
246,2 %
247,2 %
248,- percent
249,8 %
250,2 %
251,1 %
252,23 %
253,zero percent
254,60 %
255,95 %
256,5 %
257,6 %
258,absolutely percent
259,38 %
260,31 %
261,09 %
262,39 %
263,88 %
264,9 %
265,1 %
266,80 %
267,27 %
268,26 %
269,26 %
270,24 %
271,40 %
272,17 %
273,30 %
274,12 %
275,38 %
276,6 %
277,62 %
278,11 %
279,35 %
280,5 %
281,This percent
282,5 %
283,8 %
284,This percent
285,8 %
286,9 %
287,7 %
288,weekly percent
289,26 %
290,18 %
291,46 %
292,37 %
293,20 %
294,5 %
295,25 %
296,hundred percent
297,six percent
298,six percent
299,40 %
300,120 %
301,6 %
302,50 %
303,3 %
304,5 %
305,9 %
306,40 %
307,7 %
308,25 %
309,10 %
310,7 %
311,20 %
312,2 %
313,5 %
314,10 %
315,13 %
316,38 %
317,5 %
318,3 %
319,6 %
320,12 %
321,7 %
322,10 %
323,8 %
324,4 %
325,30 %
326,90 %
327,100 %
328,6 %
329,8 %
330,7 %
331,7 %
332,6 %
333,0 %
334,88 %
335,1 %
336,4 %
337,8 %
338,3 %
339,six percent
340,decline percent
341,15 %
342,7 %
343,0 %
344,4 %
345,1 %
346,0 %
347,3 %
348,6 %
349,1 %
350,8 %
351,7 %
352,4 %
353,0 %
354,9 %
355,0 %
356,5 %
357,2 %
358,4 %
359,2 %
360,20 %
361,5 %
362,5 %
363,24 %
364,45 %
365,8 %
366,nine percent
367,00 %
368,69 %
369,10 %
370,10 %
371,00 %
372,50 %
373,80 %
374,00 %
375,26 %
376,3 %
377,1 %
378,2 %
379,9 %
380,9 %
381,5 %
382,20 %
383,30 %
384,1 %
385,1 %
386,2 %
387,8 %
388,7 %
389,13 %
390,38 %
391,20 %
392,7 %
393,1 %
394,45 %
395,3 %
396,67 %
397,30 %
398,7 %
399,2 %
400,2 %
401,2 %
402,1 %
403,highest percent
404,lowest percent
405,rates percent
406,1 %
407,2 %
408,5 %
409,4 %
410,3 %
411,5 %
412,1 %
413,5 %
414,3 %
415,2 %
416,one percent
417,112 %
418,5 %
419,3 %
420,90 %
421,95 %
422,93 %
423,00 %
424,04 %
425,50 %
426,30 %
427,30 %
428,6 %
429,38 %
430,93 %
431,6 %
432,38 %
433,2 %
434,2 %
435,6 %
436,What Percent
437,90 %
438,us percent
439,Johnson percent
440,3 %
441,high percent
442,88 %
443,25 %
444,2 %
445,2 %
446,2 %
447,1 %
448,2 %
449,5 %
450,6 %
451,2 %
452,8 %
453,9 %
454,7 %
455,5 %
456,5 %
457,4 %
458,5 %
459,7 %
460,61 %
461,19 %
462,15 %
463,24 %
464,27 %
465,127 %
466,100 %
467,29 %
468,9 %
469,13 %
470,1 %
471,1 %
472,1 %
473,4 %
474,2 %
475,six percent
476,6 %
477,9 %
478,2 %
479,2 %
480,2 %
481,60 %
482,39 %
483,50 %
484,projecting percent
485,year-over-year percent
486,showing percent
487,terms percent
488,100 %
489,9 %
490,5 %
491,2 %
492,1 %
493,20 %
494,40 %
495,3 %
496,8 %
497,5 %
498,7 %
499,year-over-year percent
500,showing percent
501,terms percent
502,100 %
503,9 %
504,3 %
505,6 %
506,1 %
507,16 %
508,50 %
509,14 %
510,20 %
511,27 %
512,8 %
513,8 %
514,three percent
515,6 %
516,5 %
517,one percent
518,66 %
519,two percent
520,1 %
521,two percent
522,reported percent
523,reported percent
524,17 %
525,25 %
526,30 %
527,25 %
528,X percent
529,22 %
530,1 %
531,5 %
532,3 %
533,9 %
534,4 %
535,1 %
536,14 %
537,5 %
538,4 %
539,99 %
540,6 %
541,25 %
542,60 %
543,40 %
544,2 %
545,one percent
546,8 %
547,8 %
548,9 %
549,0 %
550,60 %
551,88 %
552,48 %
553,34 %
554,14 %
555,28 %
556,19 %
557,19 %
558,published percent
559,1 %
560,2 %
561,5 %
562,3 %
563,1 %
564,1 %
565,48 %
566,3 %
567,sales percent
568,4 %
569,Seven percent
570,five percent
571,enormous percent
572,30 %
573,50 %
574,50 %
575,5 %
576,16 %
577,s percent
578,30 %
579,1 %
580,1 %
581,5 %
582,19 %
583,8 %
584,1 %
585,50 %
586,15 %
587,2 %
588,3 %
589,9 %
590,65 %
591,55 %
592,93 %
593,37 %
594,05 %
595,8 %
596,5 %
597,38 %
598,95 %
599,69 %
600,5 %
601,6 %
602,4 %
603,six percent
604,94 %
605,15 %
606,20 %
607,40 %
608,10 %
609,3 %
610,7 %
611,7 %
612,3 %
613,3 %
614,3 %
615,10 %
616,9 %
617,3 %
618,60 %
619,35 %
620,5 %
621,50 %
622,20 %
623,20 %
624,22 %
625,50 %
626,25 %
627,40 %
628,16 %
629,70 %
630,50 %
631,2 %
632,55 %
633,2 %
634,7 %
635,5 %
636,2 %
637,30 %
638,35 %
639,24 %
640,7 %
641,69 %
642,14 %
643,5 %
644,6 %
645,6 %
646,9 %
647,3 %
648,7 %
649,3 %
650,39 %
651,54 %
652,35 %
653,7 %
654,14 %
655,2 %
656,5 %
657,5 %
658,7 %
659,13 %
660,6 %
661,4 %
662,5 %
663,2 %
664,2 %
665,3 %
666,3 %
667,4 %
668,Twenty-seven percent
669,twenty-five percent
670,17 %
671,50 %
672,7 %
673,21 %
674,24 %
675,25 %
676,9 %
677,7 %
678,5 %
679,3 %
680,2 %
681,3 %
682,1 %
683,2 %
684,1 %
685,1 %
686,24 %
687,6 %
688,7 %
689,30 %
690,1 %
691,4 %
692,2 %
693,8 %
694,5 %
695,5 %
696,5 %
697,100 %
698,100 %
699,62 %
700,100 %
701,100 %
702,85 %
703,42 %
704,100 %
705,100 %
706,twelve percent
707,double-digit percent
708,ninety percent
709,5 %
710,2 %
711,0 %
712,35 %
713,9 %
714,1 %
715,28 %
716,200 %
717,10 %
718,7 %
719,8 %
720,2 %
721,3 %
722,7 %
723,1 %
724,6 %
725,60 %
726,15 %
727,4 %
728,9 %
729,6 %
730,3 %
731,9 %
732,included percent
733,65 %
734,2 %
735,2 %
736,3 %
737,7 %
738,5 %
739,15 %
740,12 %
741,16 %
742,5 %
743,10 %
744,15 %
745,15 %
746,0 %
747,4 %
748,7 %
749,4 %
750,18 %
751,5 %
752,15 %
753,5 %
754,4 %
755,1 %
756,2 %
757,5 %
758,1 %
759,2 %
760,6 %
761,3 %
762,56 %
763,45 %
764,75 %
765,230 %
766,45 %
767,2 %
768,10 %
769,2 %
770,2 %
771,15 %
772,1 %
773,Four percent
774,Six percent
775,2 %
776,4 %
777,2 %
778,4 %
779,Four percent
780,15 %
781,5 %
782,1 %
783,15 %
784,40 %
785,5 %
786,8 %
787,3 %
788,9 %
789,5 %
790,9 %
791,5 %
792,7 %
793,9 %
794,3 %
795,8 %
796,4 %
797,9 %
798,3 %
799,3 %
800,5 %
801,3 %
802,6 %
803,5 %
804,5 %
805,5 %
806,0 %
807,5 %
808,0 %
809,0 %
810,3 %
811,0 %
812,3 %
813,6 %
814,0 %
815,4 %
816,8 %
817,60 %
818,45 %
819,33 %
820,7 %
821,9 %
822,45 %
823,58 %
824,1 %
825,2 %
826,7 %
827,49 %
828,50 %
829,9 %
830,5 %
831,60 %
832,5 %
833,8 %
834,1 %
835,1 %
836,2 %
837,2 %
838,1 %
839,3 %
840,4 %
841,2 %
842,75 %
843,9 %
844,6 %
845,8 %
846,42 %
847,15 %
848,28 %
849,75 %
850,10 %
851,20 %
852,25 %
853,31 %
854,6 %
855,50 %
856,3 %
857,53 %
858,0 %
859,24 %
860,6 %
861,1 %
862,25 %
863,24 %
864,2 %
865,35 %
866,5 %
867,30 %
868,30 %
869,26 %
870,20 %
871,20 %
872,0 %
873,4 %
874,0 %
875,1 %
876,4 %
877,0 %
878,7 %
879,6 %
880,7 %
881,4 %
882,3 %
